@relation 'Titanic_train_predicted_ages-weka.filters.unsupervised.attribute.NumericToNominal-R1,2_predicted'

@attribute 'prediction margin' numeric
@attribute 'predicted Survived' {0,1}
@attribute Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {female,male}
@attribute SibSp numeric
@attribute Parch numeric
@attribute Embarked {C,S,Q}
@attribute EditedAge numeric

@data
-0.697095,0,1,3,male,0,0,S,32.36809
0.828571,1,1,2,female,1,1,S,25
0.930233,1,1,1,female,0,0,S,29
0.828571,1,1,2,female,0,0,S,50
0.222222,1,1,3,female,0,0,C,15
-0.697095,0,1,1,male,0,0,C,32.36809
0.930233,1,1,1,female,0,0,C,24
-0.697095,0,1,2,male,0,0,C,32.36809
-0.697095,0,1,1,male,1,1,C,60
0.930233,1,1,1,female,0,0,S,19
0.930233,1,1,1,female,0,0,S,48
0.828571,1,1,2,female,0,1,S,34
-0.697095,0,1,1,male,0,0,C,27
0.930233,1,1,1,female,1,0,C,23
-0.697095,0,1,1,male,1,0,S,42
-0.697095,0,1,1,male,1,2,S,36
-0.697095,0,1,3,male,0,0,C,20
0.909091,1,1,2,male,2,1,S,1
-0.666667,0,1,3,female,1,0,S,19
0.222222,1,1,3,female,1,0,C,14
0.222222,1,1,3,female,1,1,C,21.662069
-0.697095,0,1,3,male,0,0,S,19
0.828571,1,1,2,female,2,1,S,4
-0.697095,0,1,3,male,0,0,S,32.36809
0.930233,1,1,1,female,0,2,S,19
0.133333,1,1,3,female,0,0,S,30
0.828571,1,1,2,female,2,3,S,24
0.133333,1,1,3,female,0,2,S,27
-0.697095,0,1,1,male,0,0,S,32.36809
-0.697095,0,1,3,male,0,0,S,30
-0.697095,0,1,1,male,1,1,S,37
-1,0,1,3,female,0,0,S,63
0.828571,1,1,2,female,0,0,S,27
0.222222,1,1,3,female,0,0,C,13
0.697095,0,0,2,male,0,0,S,32.36809
0.875,0,0,3,male,4,1,Q,7
0.697095,0,0,2,male,0,0,S,18
0.697095,0,0,2,male,1,0,S,21
0.697095,0,0,3,male,0,0,S,24
0.697095,0,0,2,male,0,0,S,26
-0.133333,1,0,3,female,0,0,S,18
0.697095,0,0,3,male,5,2,S,14
0.697095,0,0,3,male,1,0,S,25
0.697095,0,0,3,male,0,0,S,21
0.697095,0,0,3,male,1,1,S,16
0.7,0,0,3,female,5,2,S,16
0.697095,0,0,3,male,0,0,S,49
0.697095,0,0,3,male,0,0,Q,32.36809
0.697095,0,0,3,male,0,0,S,32.36809
0.697095,0,0,3,male,0,1,S,44
0.697095,0,0,2,male,0,0,S,25
0.697095,0,0,3,male,0,0,S,30
0.697095,0,0,3,male,0,0,S,22
0.697095,0,0,1,male,0,0,S,45
0.697095,0,0,3,male,0,0,S,21
0.697095,0,0,3,male,0,0,S,32.36809
0.875,0,0,3,male,4,1,Q,8
-1,1,0,3,female,1,5,S,39
1,0,0,3,female,0,2,S,41
