@relation 'Titanic_train_processed-weka.filters.unsupervised.attribute.NumericToNominal-R1,2-weka.filters.unsupervised.attribute.NominalToBinary-R1,3-weka.filters.unsupervised.attribute.NumericToNominal-R1,3'

@attribute Survived			{0,1}
@attribute Pclass 			{1,2,3}
@attribute Sex 				{Male,Female}
@attribute Embarked 		{C,S,Q}
@attribute AgeGroup 		{'Young Adult','Senior Adult',NK,Teen,Child,Elderly}
@attribute Relatives 		{None,Low,Average,High}

@data
1,1,Female,C,'Young Adult',None
1,1,Male,C,'Young Adult',Low
1,1,Male,C,'Young Adult',None
0,1,Male,S,'Young Adult',Average
1,1,Female,S,'Young Adult',Average
1,1,Female,S,'Young Adult',Average
0,1,Male,S,'Senior Adult',Average
1,1,Female,C,'Young Adult',Average
1,1,Female,C,'Young Adult',Average
0,1,Male,C,'Young Adult',Low
1,1,Female,C,'Senior Adult',Low
1,1,Female,C,'Young Adult',None
0,1,Male,C,NK,None
1,1,Female,C,'Young Adult',Low
1,1,Female,C,'Young Adult',None
0,1,Male,S,NK,None
0,1,Male,C,'Young Adult',Low
1,1,Female,S,Teen,Low
1,1,Female,S,'Young Adult',None
1,1,Female,S,'Young Adult',Low
1,1,Female,S,'Young Adult',Low
1,1,Female,S,'Young Adult',Low
1,1,Female,S,'Senior Adult',Low
0,1,Male,S,'Young Adult',Low
1,1,Female,S,'Young Adult',None
0,1,Female,S,Child,Average
1,1,Male,S,Child,Average
0,1,Female,S,'Young Adult',Average
1,1,Female,S,'Young Adult',None
1,1,Female,C,NK,Low
1,1,Female,C,'Senior Adult',None
1,1,Female,S,'Young Adult',None
1,1,Female,C,'Young Adult',None
0,1,Male,C,'Young Adult',None
1,1,Female,C,'Young Adult',Low
1,1,Female,C,'Young Adult',None
1,1,Female,S,NK,Low
1,1,Male,S,'Senior Adult',Low
1,1,Male,S,'Young Adult',Average
1,1,Female,S,Teen,Average
1,1,Female,S,'Young Adult',Average
1,1,Male,S,Child,Average
1,1,Female,C,'Young Adult',Low
1,1,Female,C,'Young Adult',Low
0,1,Male,C,'Senior Adult',Low
1,1,Female,C,NK,None
1,1,Male,C,Teen,Low
1,1,Female,C,'Young Adult',Low
