@relation Titanic_test_processed-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.NumericToNominal-R2_predicted

@attribute 'prediction margin' numeric
@attribute 'predicted Survived' {0,1}
@attribute Survived {0,1}
@attribute Pclass {1,2,3}
@attribute Sex {Male,Female}
@attribute Embarked {C,S,Q}
@attribute AgeGroup {'Young Adult','Senior Adult',NK,Teen,Child,Elderly}
@attribute Relatives {None,Low,Average,High}

@data
0.622184,0,?,3,Male,Q,'Young Adult',None
0.25,0,?,3,Female,S,'Young Adult',Low
0.622184,0,?,2,Male,Q,'Senior Adult',None
0.622184,0,?,3,Male,S,'Young Adult',None
0.25,0,?,3,Female,S,'Young Adult',Low
0.622184,0,?,3,Male,S,Teen,None
0.428571,0,?,3,Female,Q,'Young Adult',None
0.622184,0,?,2,Male,S,'Young Adult',Low
-0.304348,1,?,3,Female,C,'Young Adult',None
0.622184,0,?,3,Male,S,'Young Adult',Low
0.622184,0,?,3,Male,S,NK,None
0.622184,0,?,1,Male,S,'Young Adult',None
-0.934783,1,?,1,Female,S,'Young Adult',Low
0.622184,0,?,2,Male,S,'Senior Adult',Low
-0.934783,1,?,1,Female,S,'Young Adult',Low
-0.842105,1,?,2,Female,C,'Young Adult',Low
0.622184,0,?,2,Male,Q,'Young Adult',None
0.622184,0,?,3,Male,C,'Young Adult',None
0.25,0,?,3,Female,S,'Young Adult',Low
-0.304348,1,?,3,Female,C,'Young Adult',None
0.622184,0,?,1,Male,C,'Senior Adult',Low
0.622184,0,?,3,Male,S,Child,Low
-0.934783,1,?,1,Female,S,NK,None
0.622184,0,?,1,Male,C,'Young Adult',Low
-0.934783,1,?,1,Female,C,'Young Adult',Average
0.622184,0,?,3,Male,S,'Senior Adult',Low
-0.934783,1,?,1,Female,C,'Young Adult',Low
0.622184,0,?,3,Male,C,'Young Adult',None
0.622184,0,?,1,Male,S,'Young Adult',None
0.622184,0,?,3,Male,C,NK,Low
0.622184,0,?,2,Male,S,'Senior Adult',Low
